stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,E,Germany,Curacao,0.6873798863980191,0.1589982336908842,0.1536218799110967,2.3716761583134556,0.7413549192242328,Germany
group,E,Germany,Cote d'Ivoire,0.44061616719687235,0.3252898205114874,0.23409401229164023,1.546266814521388,1.0005205164421282,Germany
group,E,Germany,Ecuador,0.39915080669072844,0.34251656107555145,0.25833263223372005,1.2878707689500124,1.0118229114215622,Germany
group,E,Curacao,Cote d'Ivoire,0.26024540483220204,0.1694623181384111,0.5702922770293869,0.9277103027848238,1.7073213818119009,Cote d'Ivoire
group,E,Curacao,Ecuador,0.177927646030867,0.11998547554113508,0.7020868784279979,0.6904815636869317,2.065970297291169,Ecuador
group,E,Cote d'Ivoire,Ecuador,0.3493310213088989,0.2517487108707428,0.3989202678203583,1.0495328718896668,1.2603980777862904,Ecuador
group,F,Netherlands,Japan,0.43530211886903114,0.34393568289567455,0.2207621982352943,1.328642336320068,0.9700192996859504,Netherlands
group,F,Netherlands,Sweden,0.4343007103041132,0.3381352277756584,0.22756406192022838,1.6748220975272736,1.032593450907762,Netherlands
group,F,Netherlands,Tunisia,0.4634646017391861,0.3240567840354676,0.21247861422534628,1.609155621569233,0.897898183031451,Netherlands
group,F,Japan,Sweden,0.4653003035754237,0.26956748392291224,0.2651322125016641,1.5725657379308977,0.9766623218819663,Japan
group,F,Japan,Tunisia,0.5403666898881413,0.22394244551229817,0.23569086459956054,1.594903142028865,0.8201762348805122,Japan
group,F,Sweden,Tunisia,0.2857233073032888,0.37190182125275795,0.34237487144395323,1.1628968469183774,1.2359363228321472,Tunisia
group,G,Belgium,Egypt,0.3401316702365875,0.3078337609767914,0.3520345687866211,1.2624449568696017,1.200412932661163,Egypt
group,G,Belgium,Iran,0.5069772156172161,0.21334076563539403,0.27968201874738985,1.4379426438468117,1.0563702640487747,Belgium
group,G,Belgium,New Zealand,0.43772675282577417,0.3070782331502964,0.2551950140239294,1.637354540412026,1.087081079052254,Belgium
group,G,Egypt,Iran,0.4543469751334328,0.21447959010956838,0.3311734347569988,1.1595044653925857,1.0346069471975496,Egypt
group,G,Egypt,New Zealand,0.4226936399936676,0.2761150896549225,0.3011912703514099,1.338473997789161,1.0219142154024174,Egypt
group,G,Iran,New Zealand,0.5156928973748222,0.17469923458545258,0.30960786803972523,1.5065001811691223,0.9522627333165437,Iran
group,H,Spain,Cabo Verde,0.8100515249386884,0.07466331346819739,0.11528516159311418,2.6721848180673273,0.5399141859311223,Spain
group,H,Spain,Saudi Arabia,0.677781637427196,0.12262445948175381,0.19959390309105018,2.336100776391699,0.7125004475298633,Spain
group,H,Spain,Uruguay,0.5086669618685864,0.23904658919295138,0.2522864489384622,1.6301250891235386,0.8688516769673149,Spain
group,H,Cabo Verde,Saudi Arabia,0.4213360610803375,0.2314449732220914,0.3472189656975711,1.2372625351941626,1.148038154158008,Cabo Verde
group,H,Cabo Verde,Uruguay,0.22068626520972653,0.17437369601804925,0.6049400387722242,0.829036927383523,1.681389597471227,Uruguay
group,H,Saudi Arabia,Uruguay,0.27518031821192257,0.23965290903010694,0.4851667727579705,0.9804753355690653,1.5054639962407723,Uruguay
group,I,France,Senegal,0.393156498670578,0.35729917883872986,0.24954432249069214,1.4361246099988874,1.021732399284854,France
group,I,France,Iraq,0.5376651206960511,0.25620558476141714,0.20612929454253176,1.8450980163170665,0.8885744367897975,France
group,I,France,Norway,0.418904525604979,0.3434111578289019,0.2376843165661191,1.5214992849902562,1.0403694502384837,France
