stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,H,Saudi Arabia,Uruguay,0.20033455209945544,0.24661274207542333,0.553052705825121,0.8730286072216176,1.6325068764378035,Uruguay
group,I,France,Senegal,0.5788498457205915,0.23481998610212265,0.18633016817728568,1.7401590994552816,0.8734855766569392,France
group,I,France,Iraq,0.7176343728937735,0.17804946667243973,0.10431616043378664,2.2072630315382464,0.7042104550496284,France
group,I,France,Norway,0.5737781023712913,0.23232856214188055,0.1938933354868282,1.7715879513952497,0.9230923012397343,France
group,I,Senegal,Iraq,0.49099073660803616,0.26980237192128304,0.2392068914706807,1.422560931698339,0.9041127846920559,Senegal
group,I,Senegal,Norway,0.348495980200767,0.2816595628209326,0.3698444569783004,1.1416957301681943,1.185127588410584,Norway
group,I,Iraq,Norway,0.2309712885698603,0.2606846867290833,0.5083440247010564,0.9204436778064339,1.503348561795224,Norway
group,J,Argentina,Algeria,0.635250740435532,0.218671633346613,0.1460776262178549,1.8552391430266062,0.754762430841206,Argentina
group,J,Argentina,Austria,0.6618929441898905,0.20868605738986548,0.12942099842024396,1.9256013607437164,0.7095925380434085,Argentina
group,J,Argentina,Jordan,0.7657107467152614,0.1575212420358025,0.07676801124893591,2.333618202641248,0.5912867251089484,Argentina
group,J,Algeria,Austria,0.38538916635709003,0.2849966758188481,0.3296141578240616,1.193466208842047,1.0810339711992107,Algeria
group,J,Algeria,Jordan,0.49824421672999136,0.26720074419024775,0.2345550390797608,1.446491970972645,0.9008002551819148,Algeria
group,J,Austria,Jordan,0.46627105377812955,0.27586669465364,0.25786225156823045,1.3599259354557862,0.9349710572087816,Austria
group,K,Portugal,Congo DR,0.5953013507525776,0.23875648018806298,0.16594216905935932,1.685415186523295,0.7590709651985889,Portugal
group,K,Portugal,Uzbekistan,0.5169044347661941,0.2639694663254169,0.21912609890838894,1.4794921552931455,0.8616063160403872,Portugal
group,K,Portugal,Colombia,0.4381128535989273,0.26922386635987416,0.29266328004119857,1.3781854356305925,1.0743148040496082,Portugal
