stage,group,team_a,team_b,p_a_win,p_draw,p_b_win,expected_goals_a,expected_goals_b,projected_winner
group,D,United States,Australia,0.3717380327770715,0.2824746969591412,0.34578727026378736,1.2729710263373162,1.285921505649024,United States
group,D,United States,Turkiye,0.2652312330247528,0.2791257892593559,0.4556429777158914,1.096118085245906,1.5803477438592248,Turkiye
group,D,Paraguay,Australia,0.37829234294707087,0.29371948575024215,0.32798817130268704,1.2139593574156384,1.174417719736934,Paraguay
group,D,Paraguay,Turkiye,0.2794840663149477,0.2849001599648923,0.4356157737201601,1.0496220990042724,1.445107190454306,Turkiye
group,D,Australia,Turkiye,0.3075087387152811,0.2888009830840767,0.4036902782006423,1.1011533956792499,1.348915387708307,Turkiye
group,E,Germany,Curacao,0.7239373721213763,0.16903162616156509,0.10703100171705865,2.466635460566638,0.6802920919500549,Germany
group,E,Germany,Cote d'Ivoire,0.5049795166513215,0.26380262327490045,0.2312178600737781,1.6460616065700515,0.9681369463893806,Germany
group,E,Germany,Ecuador,0.3659892999452083,0.30031296125034834,0.3336977388044434,1.2169214266138735,1.111361926799129,Germany
group,E,Curacao,Cote d'Ivoire,0.2031586513145946,0.2606245268209151,0.5362168218644903,0.8848310109416504,1.675472867452979,Cote d'Ivoire
group,E,Curacao,Ecuador,0.12987021939665078,0.2146066003881679,0.6555231802151814,0.665695401137144,1.99618933560334,Ecuador
group,E,Cote d'Ivoire,Ecuador,0.288618718809016,0.29810463727419123,0.4132766439167928,0.9785755770714932,1.301762100080096,Ecuador
group,F,Netherlands,Japan,0.43323843734967526,0.2890690834906042,0.2776924791597207,1.3042530182510623,1.0385580169761486,Netherlands
group,F,Netherlands,Sweden,0.571540167356411,0.2403471297144295,0.1881127029291596,1.923772453759713,0.9249541280714223,Netherlands
group,F,Netherlands,Tunisia,0.5809171098823331,0.24164120384327825,0.17744168627438858,1.820770941537386,0.8105948116292774,Netherlands
group,F,Japan,Sweden,0.5576248933283592,0.24839245867458137,0.19398264799705944,1.7475355738868834,0.8638776599611124,Japan
group,F,Japan,Tunisia,0.5720986222242453,0.247844830246156,0.18005654752959868,1.664454494830546,0.7521378067907316,Japan
group,F,Sweden,Tunisia,0.3336495409223808,0.29515255324631834,0.3711979058313009,1.2108511418057404,1.2504229192794474,Tunisia
group,G,Belgium,Egypt,0.3927538632566886,0.2808257297641039,0.3264204069792076,1.342741341225015,1.1490993706037929,Belgium
group,G,Belgium,Iran,0.43004458647014665,0.28039261457701964,0.2895627989528339,1.3392825069737024,1.099446781714862,Belgium
group,G,Belgium,New Zealand,0.5287619434125095,0.24709234811382208,0.22414570847366838,1.7950144095122624,1.0105019643972253,Belgium
group,G,Egypt,Iran,0.33445860887856427,0.3115918807950244,0.3539495103264113,1.0158452977276415,1.1042385894552107,Iran
group,G,Egypt,New Zealand,0.414367573194796,0.29968352875898047,0.28594889804622353,1.3325652822374008,1.0087297847059133,Egypt
group,G,Iran,New Zealand,0.5003227924413451,0.2766995221507524,0.22297768540790247,1.5139428846233045,0.8692412846874865,Iran
group,H,Spain,Cabo Verde,0.8072433477227299,0.1266635253912332,0.06609312688603707,2.6815589367217982,0.497926734962398,Spain
group,H,Spain,Saudi Arabia,0.7575164143857714,0.14863058377941915,0.0938530018348095,2.5522105799504997,0.579561455876597,Spain
